@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
7382,'2019/06/20 01:58:54:499',29,328,245,0.5,0,0,0.5
7383,'2019/06/20 01:58:54:509',29,328,245,0.5,0,0,0.5
7384,'2019/06/20 01:58:54:532',29,328,245,0.5,0,0,0.5
7385,'2019/06/20 01:58:54:543',29,328,245,0.5,0,0,0.5
7386,'2019/06/20 01:58:54:566',29,329,244,0.5,0,0,0.5
7387,'2019/06/20 01:58:54:583',29,326,244,0.5,0,0,0.5
7388,'2019/06/20 01:58:54:593',29,326,244,0.5,0,0,0.5
7389,'2019/06/20 01:58:54:616',29,328,243,0.5,0,0,0.5
7390,'2019/06/20 01:58:54:626',29,328,243,0.5,0,0,0.5
7391,'2019/06/20 01:58:54:643',29,328,243,0.5,0,0,0.5
7392,'2019/06/20 01:58:54:666',29,328,243,0.5,0,0,0.5
7393,'2019/06/20 01:58:54:676',29,328,243,0.5,0,0,0.5
7394,'2019/06/20 01:58:54:700',29,328,243,0.5,0,0,0.5
7395,'2019/06/20 01:58:54:710',29,328,243,0.5,0,0,0.5
7396,'2019/06/20 01:58:54:732',29,328,243,0.5,0,0,0.5
7397,'2019/06/20 01:58:54:743',29,328,243,0.5,0,0,0.5
7398,'2019/06/20 01:58:54:767',29,327,243,0.5,0,0,0.5
7399,'2019/06/20 01:58:54:776',29,327,243,0.5,0,0,0.5
7400,'2019/06/20 01:58:54:799',29,327,242,0.5,0,0,0.5
7401,'2019/06/20 01:58:54:809',29,327,242,0.5,0,0,0.5
7402,'2019/06/20 01:58:54:833',29,329,241,0.5,0,0,0.5
7403,'2019/06/20 01:58:54:843',29,329,241,0.5,0,0,0.5
7404,'2019/06/20 01:58:54:866',29,331,240,0.5,0,0,0.5
7405,'2019/06/20 01:58:54:876',29,331,240,0.5,0,0,0.5
7406,'2019/06/20 01:58:54:900',29,328,240,0.5,0,0,0.5
7407,'2019/06/20 01:58:54:910',29,328,240,0.5,0,0,0.5
7408,'2019/06/20 01:58:54:933',29,331,239,0.5,0,0,0.5
7409,'2019/06/20 01:58:54:955',29,328,240,0.5,0,0,0.5
7410,'2019/06/20 01:58:54:960',29,328,240,0.5,0,0,0.5
7411,'2019/06/20 01:58:54:976',29,328,240,0.5,0,0,0.5
7412,'2019/06/20 01:58:55:001',29,330,240,0.5,0,0,0.5
7413,'2019/06/20 01:58:55:010',29,330,240,0.5,0,0,0.5
7414,'2019/06/20 01:58:55:035',29,330,240,0.5,0,0,0.5
7415,'2019/06/20 01:58:55:043',29,330,240,0.5,0,0,0.5
7416,'2019/06/20 01:58:55:069',29,329,239,0.5,0,0,0.5
7417,'2019/06/20 01:58:55:076',29,329,239,0.5,0,0,0.5
7418,'2019/06/20 01:58:55:104',29,327,239,0.5,0,0,0.5
7419,'2019/06/20 01:58:55:109',29,327,239,0.5,0,0,0.5
7420,'2019/06/20 01:58:55:134',29,327,238,0.5,0,0,0.5
7421,'2019/06/20 01:58:55:143',29,327,238,0.5,0,0,0.5
7422,'2019/06/20 01:58:55:168',29,329,237,0.5,0,0,0.5
7423,'2019/06/20 01:58:55:177',29,329,237,0.5,0,0,0.5
7424,'2019/06/20 01:58:55:201',29,329,237,0.5,0,0,0.5
7425,'2019/06/20 01:58:55:209',29,329,237,0.5,0,0,0.5
7426,'2019/06/20 01:58:55:233',29,329,238,0.5,0,0,0.5
7427,'2019/06/20 01:58:55:243',29,329,238,0.5,0,0,0.5
7428,'2019/06/20 01:58:55:267',29,326,239,0.5,0,0,0.5
7429,'2019/06/20 01:58:55:276',29,326,239,0.5,0,0,0.5
7430,'2019/06/20 01:58:55:299',29,328,239,0.5,0,0,0.5
7431,'2019/06/20 01:58:55:309',29,328,239,0.5,0,0,0.5
7432,'2019/06/20 01:58:55:337',29,326,239,0.5,0,0,0.5
7433,'2019/06/20 01:58:55:343',29,326,239,0.5,0,0,0.5
7434,'2019/06/20 01:58:55:368',29,328,237,0.5,0,0,0.5
7435,'2019/06/20 01:58:55:376',29,328,237,0.5,0,0,0.5
7436,'2019/06/20 01:58:55:400',29,327,236,0.5,0,0,0.5
7437,'2019/06/20 01:58:55:409',29,327,236,0.5,0,0,0.5
7438,'2019/06/20 01:58:55:433',29,327,235,0.5,0,0,0.5
7439,'2019/06/20 01:58:55:443',29,327,235,0.5,0,0,0.5
7440,'2019/06/20 01:58:55:465',29,326,235,0.5,0,0,0.5
7441,'2019/06/20 01:58:55:476',29,326,235,0.5,0,0,0.5
7442,'2019/06/20 01:58:55:499',29,327,235,0.5,0,0,0.5
7443,'2019/06/20 01:58:55:509',29,327,235,0.5,0,0,0.5
7444,'2019/06/20 01:58:55:532',29,325,236,0.5,0,0,0.5
7445,'2019/06/20 01:58:55:543',29,325,236,0.5,0,0,0.5
7446,'2019/06/20 01:58:55:565',29,327,236,0.5,0,0,0.5
7447,'2019/06/20 01:58:55:577',29,327,236,0.5,0,0,0.5
7448,'2019/06/20 01:58:55:599',29,328,236,0.5,0,0,0.5
7449,'2019/06/20 01:58:55:609',29,328,236,0.5,0,0,0.5
7450,'2019/06/20 01:58:55:633',29,326,236,0.5,0,0,0.5
7451,'2019/06/20 01:58:55:643',29,326,236,0.5,0,0,0.5
7452,'2019/06/20 01:58:55:667',29,329,235,0.5,0,0,0.5
7453,'2019/06/20 01:58:55:677',29,329,235,0.5,0,0,0.5
7454,'2019/06/20 01:58:55:700',29,326,235,0.5,0,0,0.5
7455,'2019/06/20 01:58:55:710',29,326,235,0.5,0,0,0.5
7456,'2019/06/20 01:58:55:735',29,326,235,0.5,0,0,0.5
7457,'2019/06/20 01:58:55:743',29,326,235,0.5,0,0,0.5
7458,'2019/06/20 01:58:55:768',29,327,235,0.5,0,0,0.5
7459,'2019/06/20 01:58:55:783',29,327,235,0.5,0,0,0.5
7460,'2019/06/20 01:58:55:793',29,327,235,0.5,0,0,0.5
7461,'2019/06/20 01:58:55:810',29,327,235,0.5,0,0,0.5
7462,'2019/06/20 01:58:55:833',29,327,235,0.5,0,0,0.5
7463,'2019/06/20 01:58:55:842',29,327,235,0.5,0,0,0.5
7464,'2019/06/20 01:58:55:867',29,327,235,0.5,0,0,0.5
7465,'2019/06/20 01:58:55:876',29,327,235,0.5,0,0,0.5
7466,'2019/06/20 01:58:55:899',29,327,235,0.5,0,0,0.5
7467,'2019/06/20 01:58:55:909',29,327,235,0.5,0,0,0.5
7468,'2019/06/20 01:58:55:933',29,330,234,0.5,0,0,0.5
7469,'2019/06/20 01:58:55:942',29,330,234,0.5,0,0,0.5
7470,'2019/06/20 01:58:55:965',29,329,234,0.5,0,0,0.5
7471,'2019/06/20 01:58:55:976',29,329,234,0.5,0,0,0.5
7472,'2019/06/20 01:58:55:999',29,325,235,0.5,0,0,0.5
7473,'2019/06/20 01:58:56:010',29,325,235,0.5,0,0,0.5
7474,'2019/06/20 01:58:56:033',29,328,235,0.5,0,0,0.5
7475,'2019/06/20 01:58:56:043',29,328,235,0.5,0,0,0.5
7476,'2019/06/20 01:58:56:067',29,325,236,0.5,0,0,0.5
7477,'2019/06/20 01:58:56:076',29,325,236,0.5,0,0,0.5
7478,'2019/06/20 01:58:56:099',29,329,236,0.5,0,0,0.5
7479,'2019/06/20 01:58:56:109',29,329,236,0.5,0,0,0.5
7480,'2019/06/20 01:58:56:132',29,328,237,0.5,0,0,0.5
7481,'2019/06/20 01:58:56:149',29,331,236,0.5,0,0,0.5
7482,'2019/06/20 01:58:56:159',29,331,236,0.5,0,0,0.5
7483,'2019/06/20 01:58:56:182',29,327,236,0.5,0,0,0.5
7484,'2019/06/20 01:58:56:193',29,327,236,0.5,0,0,0.5
7485,'2019/06/20 01:58:56:210',29,327,236,0.5,0,0,0.5
7486,'2019/06/20 01:58:56:233',29,327,236,0.5,0,0,0.5
7487,'2019/06/20 01:58:56:243',29,327,236,0.5,0,0,0.5
7488,'2019/06/20 01:58:56:266',29,327,236,0.5,0,0,0.5
7489,'2019/06/20 01:58:56:276',29,327,236,0.5,0,0,0.5
7490,'2019/06/20 01:58:56:299',29,327,237,0.5,0,0,0.5
7491,'2019/06/20 01:58:56:309',29,327,237,0.5,0,0,0.5
7492,'2019/06/20 01:58:56:333',29,327,238,0.5,0,0,0.5
7493,'2019/06/20 01:58:56:343',29,327,238,0.5,0,0,0.5
7494,'2019/06/20 01:58:56:366',29,327,239,0.5,0,0,0.5
7495,'2019/06/20 01:58:56:376',29,327,239,0.5,0,0,0.5
7496,'2019/06/20 01:58:56:399',29,329,239,0.5,0,0,0.5
7497,'2019/06/20 01:58:56:409',29,329,239,0.5,0,0,0.5
7498,'2019/06/20 01:58:56:432',29,330,239,0.5,0,0,0.5
7499,'2019/06/20 01:58:56:443',29,330,239,0.5,0,0,0.5
7500,'2019/06/20 01:58:56:465',29,331,239,0.5,0,0,0.5
7501,'2019/06/20 01:58:56:476',29,331,239,0.5,0,0,0.5
7502,'2019/06/20 01:58:56:499',29,331,239,0.5,0,0,0.5
7503,'2019/06/20 01:58:56:509',29,331,239,0.5,0,0,0.5
7504,'2019/06/20 01:58:56:532',29,330,240,0.5,0,0,0.5
7505,'2019/06/20 01:58:56:549',29,329,241,0.5,0,0,0.5
7506,'2019/06/20 01:58:56:559',29,329,241,0.5,0,0,0.5
7507,'2019/06/20 01:58:56:582',29,327,242,0.5,0,0,0.5
7508,'2019/06/20 01:58:56:592',29,327,242,0.5,0,0,0.5
7509,'2019/06/20 01:58:56:610',29,327,242,0.5,0,0,0.5
7510,'2019/06/20 01:58:56:632',29,330,242,0.5,0,0,0.5
7511,'2019/06/20 01:58:56:643',29,330,242,0.5,0,0,0.5
7512,'2019/06/20 01:58:56:667',29,329,243,0.5,0,0,0.5
7513,'2019/06/20 01:58:56:676',29,329,243,0.5,0,0,0.5
7514,'2019/06/20 01:58:56:699',29,330,243,0.5,0,0,0.5
7515,'2019/06/20 01:58:56:709',29,330,243,0.5,0,0,0.5
7516,'2019/06/20 01:58:56:732',29,331,243,0.5,0,0,0.5
7517,'2019/06/20 01:58:56:743',29,331,243,0.5,0,0,0.5
7518,'2019/06/20 01:58:56:766',29,334,243,0.5,0,0,0.5
7519,'2019/06/20 01:58:56:776',29,334,243,0.5,0,0,0.5
7520,'2019/06/20 01:58:56:799',29,330,244,0.5,0,0,0.5
7521,'2019/06/20 01:58:56:809',29,330,244,0.5,0,0,0.5
7522,'2019/06/20 01:58:56:832',29,334,244,0.5,0,0,0.5
7523,'2019/06/20 01:58:56:843',29,334,244,0.5,0,0,0.5
7524,'2019/06/20 01:58:56:865',29,331,245,0.5,0,0,0.5
7525,'2019/06/20 01:58:56:888',29,331,245,0.5,0,0,0.5
7526,'2019/06/20 01:58:56:893',29,331,245,0.5,0,0,0.5
7527,'2019/06/20 01:58:56:916',29,331,245,0.5,0,0,0.5
7528,'2019/06/20 01:58:56:926',29,331,245,0.5,0,0,0.5
7529,'2019/06/20 01:58:56:948',29,331,244,0.5,0,0,0.5
7530,'2019/06/20 01:58:56:960',29,331,244,0.5,0,0,0.5
7531,'2019/06/20 01:58:56:976',29,331,244,0.5,0,0,0.5
7532,'2019/06/20 01:58:56:999',29,330,243,0.5,0,0,0.5
7533,'2019/06/20 01:58:57:009',29,330,243,0.5,0,0,0.5
7534,'2019/06/20 01:58:57:033',29,329,242,0.5,0,0,0.5
7535,'2019/06/20 01:58:57:043',29,329,242,0.5,0,0,0.5
7536,'2019/06/20 01:58:57:065',29,329,242,0.5,0,0,0.5
7537,'2019/06/20 01:58:57:076',29,329,242,0.5,0,0,0.5
7538,'2019/06/20 01:58:57:099',29,330,242,0.5,0,0,0.5
7539,'2019/06/20 01:58:57:109',29,330,242,0.5,0,0,0.5
7540,'2019/06/20 01:58:57:132',29,329,243,0.5,0,0,0.5
7541,'2019/06/20 01:58:57:143',29,329,243,0.5,0,0,0.5
7542,'2019/06/20 01:58:57:166',29,330,243,0.5,0,0,0.5
7543,'2019/06/20 01:58:57:176',29,330,243,0.5,0,0,0.5
7544,'2019/06/20 01:58:57:200',29,330,243,0.5,0,0,0.5
7545,'2019/06/20 01:58:57:210',29,330,243,0.5,0,0,0.5
7546,'2019/06/20 01:58:57:232',29,331,242,0.5,0,0,0.5
7547,'2019/06/20 01:58:57:243',29,331,242,0.5,0,0,0.5
7548,'2019/06/20 01:58:57:266',29,327,242,0.5,0,0,0.5
7549,'2019/06/20 01:58:57:277',29,327,242,0.5,0,0,0.5
7550,'2019/06/20 01:58:57:299',29,330,241,0.5,0,0,0.5
7551,'2019/06/20 01:58:57:310',29,330,241,0.5,0,0,0.5
7552,'2019/06/20 01:58:57:332',29,330,241,0.5,0,0,0.5
7553,'2019/06/20 01:58:57:349',29,330,241,0.5,0,0,0.5
7554,'2019/06/20 01:58:57:359',29,330,241,0.5,0,0,0.5
7555,'2019/06/20 01:58:57:376',29,330,241,0.5,0,0,0.5
7556,'2019/06/20 01:58:57:399',29,331,241,0.5,0,0,0.5
7557,'2019/06/20 01:58:57:409',29,331,241,0.5,0,0,0.5
7558,'2019/06/20 01:58:57:432',29,331,241,0.5,0,0,0.5
7559,'2019/06/20 01:58:57:443',29,331,241,0.5,0,0,0.5
7560,'2019/06/20 01:58:57:466',29,331,241,0.5,0,0,0.5
7561,'2019/06/20 01:58:57:476',29,331,241,0.5,0,0,0.5
7562,'2019/06/20 01:58:57:499',29,328,241,0.5,0,0,0.5
7563,'2019/06/20 01:58:57:509',29,328,241,0.5,0,0,0.5
7564,'2019/06/20 01:58:57:532',29,327,241,0.5,0,0,0.5
7565,'2019/06/20 01:58:57:543',29,327,241,0.5,0,0,0.5
7566,'2019/06/20 01:58:57:566',29,331,240,0.5,0,0,0.5
7567,'2019/06/20 01:58:57:576',29,331,240,0.5,0,0,0.5
7568,'2019/06/20 01:58:57:599',29,329,240,0.5,0,0,0.5
7569,'2019/06/20 01:58:57:609',29,329,240,0.5,0,0,0.5
7570,'2019/06/20 01:58:57:632',29,330,240,0.5,0,0,0.5
7571,'2019/06/20 01:58:57:643',29,330,240,0.5,0,0,0.5
7572,'2019/06/20 01:58:57:667',29,331,240,0.5,0,0,0.5
7573,'2019/06/20 01:58:57:676',29,331,240,0.5,0,0,0.5
7574,'2019/06/20 01:58:57:699',29,331,240,0.5,0,0,0.5
7575,'2019/06/20 01:58:57:716',29,332,239,0.5,0,0,0.5
7576,'2019/06/20 01:58:57:726',29,332,239,0.5,0,0,0.5
7577,'2019/06/20 01:58:57:749',29,330,238,0.5,0,0,0.5
7578,'2019/06/20 01:58:57:759',29,330,238,0.5,0,0,0.5
7579,'2019/06/20 01:58:57:776',29,330,238,0.5,0,0,0.5
7580,'2019/06/20 01:59:07:994',30,307,24,1,0,0,0.5
7581,'2019/06/20 01:59:08:020',30,309,24,1,0,0,0.5
7582,'2019/06/20 01:59:08:027',30,309,24,1,0,0,0.5
7583,'2019/06/20 01:59:08:050',30,309,24,1,0,0,0.5
7584,'2019/06/20 01:59:08:061',30,309,24,1,0,0,0.5
7585,'2019/06/20 01:59:08:084',30,310,24,1,0,0,0.5
7586,'2019/06/20 01:59:08:094',30,310,24,1,0,0,0.5
7587,'2019/06/20 01:59:08:118',30,310,24,1,0,0,0.5
7588,'2019/06/20 01:59:08:127',30,310,24,1,0,0,0.5
7589,'2019/06/20 01:59:08:150',30,308,24,1,0,0,0.5
7590,'2019/06/20 01:59:08:161',30,308,24,1,0,0,0.5
7591,'2019/06/20 01:59:08:177',30,308,24,1,0,0,0.5
7592,'2019/06/20 01:59:08:200',30,307,24,1,0,0,0.5
7593,'2019/06/20 01:59:08:211',30,307,24,1,0,0,0.5
7594,'2019/06/20 01:59:08:233',30,311,22,1,0,0,0.5
7595,'2019/06/20 01:59:08:244',30,311,22,1,0,0,0.5
7596,'2019/06/20 01:59:08:260',30,311,22,1,0,0,0.5
7597,'2019/06/20 01:59:08:284',30,306,22,1,0,0,0.5
7598,'2019/06/20 01:59:08:294',30,306,22,1,0,0,0.5
7599,'2019/06/20 01:59:08:317',30,311,20,1,0,0,0.5
7600,'2019/06/20 01:59:08:327',30,311,20,1,0,0,0.5
7601,'2019/06/20 01:59:08:350',30,309,19,1,0,0,0.5
7602,'2019/06/20 01:59:08:361',30,309,19,1,0,0,0.5
7603,'2019/06/20 01:59:08:384',30,312,18,1,0,0,0.5
7604,'2019/06/20 01:59:08:394',30,312,18,1,0,0,0.5
7605,'2019/06/20 01:59:08:417',30,309,18,1,0,0,0.5
7606,'2019/06/20 01:59:08:427',30,309,18,1,0,0,0.5
7607,'2019/06/20 01:59:08:451',30,305,19,1,0,0,0.5
7608,'2019/06/20 01:59:08:461',30,305,19,1,0,0,0.5
7609,'2019/06/20 01:59:08:484',30,308,19,1,0,0,0.5
7610,'2019/06/20 01:59:08:494',30,308,19,1,0,0,0.5
7611,'2019/06/20 01:59:08:517',30,310,18,1,0,0,0.5
7612,'2019/06/20 01:59:08:527',30,310,18,1,0,0,0.5
7613,'2019/06/20 01:59:08:550',30,309,16,1,0,0,0.5
7614,'2019/06/20 01:59:08:560',30,309,16,1,0,0,0.5
7615,'2019/06/20 01:59:08:577',30,309,16,1,0,0,0.5
7616,'2019/06/20 01:59:08:600',30,309,12,1,0,0,0.5
7617,'2019/06/20 01:59:08:611',30,309,12,1,0,0,0.5
7618,'2019/06/20 01:59:08:634',30,309,11,1,0,0,0.5
7619,'2019/06/20 01:59:08:644',30,309,11,1,0,0,0.5
7620,'2019/06/20 01:59:08:660',30,309,11,1,0,0,0.5
7621,'2019/06/20 01:59:08:683',30,309,11,1,0,0,0.5
7622,'2019/06/20 01:59:08:694',30,309,11,1,0,0,0.5
7623,'2019/06/20 01:59:08:716',30,307,12,1,0,0,0.5
7624,'2019/06/20 01:59:08:727',30,307,12,1,0,0,0.5
7625,'2019/06/20 01:59:08:750',30,310,12,1,0,0,0.5
7626,'2019/06/20 01:59:08:761',30,310,12,1,0,0,0.5
7627,'2019/06/20 01:59:08:785',30,302,13,1,0,0,0.5
7628,'2019/06/20 01:59:08:794',30,302,13,1,0,0,0.5
7629,'2019/06/20 01:59:08:817',30,306,12,1,0,0,0.5
7630,'2019/06/20 01:59:08:827',30,306,12,1,0,0,0.5
7631,'2019/06/20 01:59:08:850',30,310,10,1,0,0,0.5
7632,'2019/06/20 01:59:08:861',30,310,10,1,0,0,0.5
7633,'2019/06/20 01:59:08:884',30,307,9,1,0,0,0.5
7634,'2019/06/20 01:59:08:894',30,307,9,1,0,0,0.5
7635,'2019/06/20 01:59:08:917',30,311,8,1,0,0,0.5
7636,'2019/06/20 01:59:08:928',30,311,8,1,0,0,0.5
7637,'2019/06/20 01:59:08:950',30,307,9,1,0,0,0.5
7638,'2019/06/20 01:59:08:960',30,307,9,1,0,0,0.5
